id_animal,perimetro_toracico_cm,comprimento_corporal_cm,fator_genetico,peso_kg
51,194.9,157.3,11583.0,518.5
52,184.2,153.5,10864.0,481.2
53,179.8,153.4,11416.0,431.3
54,199.2,147.3,10893.0,533.2
55,205.5,137.8,11794.0,526.9
56,204.0,138.8,11798.0,501.5
57,177.4,157.1,11568.0,464.6
58,185.4,150.2,11819.0,429.2
59,195.0,148.6,11693.0,481.9
60,204.6,145.8,11711.0,501.2
61,182.8,146.9,11427.0,417.6
62,187.2,160.5,11137.0,533.6
63,173.4,146.6,11040.0,391.6
64,172.1,136.6,11160.0,391.1
65,202.2,157.4,11491.0,541.4
66,210.3,148.0,10990.0,579.8
67,188.9,150.3,11085.0,478.9
68,205.1,166.1,11315.0,616.2
69,195.4,149.8,11056.0,531.3
70,180.3,152.9,11448.0,441.0
71,195.4,138.2,11815.0,440.5
72,213.1,147.8,11623.0,575.3
73,189.5,156.1,11533.0,481.1
74,213.5,134.4,11441.0,521.8
75,150.7,152.0,11337.0,291.2
76,202.3,151.0,11005.0,577.1
77,191.3,150.4,11784.0,439.7
78,185.5,160.4,11073.0,522.7
79,191.4,153.3,10900.0,510.1
80,160.2,164.8,11625.0,352.1
81,186.7,140.1,10993.0,455.2
82,195.4,151.4,11209.0,537.6
83,212.2,150.8,10831.0,643.7
84,182.2,139.3,10951.0,430.0
85,177.9,159.6,10991.0,475.6
86,182.5,173.2,10860.0,505.4
87,203.7,149.8,11522.0,531.9
88,194.9,155.1,11721.0,489.0
89,182.1,150.8,11211.0,464.3
90,197.7,142.9,11762.0,469.0
91,191.5,131.8,11035.0,450.5
92,204.5,142.9,11158.0,543.9
93,179.5,136.1,10966.0,386.8
94,185.1,167.0,11483.0,489.5
95,184.1,148.8,11262.0,467.5
96,168.0,146.5,11475.0,349.0
97,194.4,158.9,11638.0,518.1
98,193.9,138.8,11400.0,446.0
99,190.1,142.3,11490.0,442.8
100,186.5,150.7,11829.0,442.3
101,168.8,160.3,11129.0,398.5
102,183.7,155.0,11195.0,452.8
103,184.9,152.5,11589.0,453.9
104,178.0,150.8,11472.0,403.6
105,187.6,154.0,10996.0,480.6
106,196.1,152.0,11214.0,507.0
107,218.3,139.7,11315.0,587.2
108,192.6,150.5,11261.0,509.9
109,193.9,139.3,10996.0,498.6
110,188.9,150.8,11817.0,444.4
111,161.2,145.2,11639.0,356.5
112,189.6,175.4,11329.0,541.5
113,190.9,149.6,11548.0,488.4
114,226.9,136.0,11787.0,583.3
115,187.1,148.7,10950.0,462.3
116,194.5,155.2,11075.0,519.0
117,189.5,166.7,11397.0,524.5
118,172.5,144.1,11679.0,375.7
119,207.1,134.2,10840.0,541.2
120,201.3,158.2,11882.0,525.1
121,201.9,136.2,11300.0,476.3
122,176.4,145.6,11195.0,390.9
123,211.0,147.4,11122.0,588.7
124,169.0,149.3,10992.0,384.7
125,198.8,156.9,11671.0,517.1
126,222.9,143.2,11851.0,604.0
127,175.1,147.3,11255.0,435.3
128,181.5,149.9,11848.0,409.1
129,191.5,151.5,11706.0,468.1
130,182.4,151.0,11329.0,452.0
131,166.7,154.4,11541.0,363.5
132,191.0,158.4,11278.0,522.7
133,174.1,153.9,11415.0,397.8
134,197.1,154.5,10864.0,580.1
135,176.2,134.2,11566.0,365.4
136,213.2,150.5,10858.0,621.0
137,178.3,154.8,11699.0,411.6
138,185.2,157.3,11707.0,452.9
139,202.2,143.1,11061.0,549.5
140,171.5,143.4,11156.0,359.2
141,193.4,144.3,11329.0,466.3
142,209.6,155.4,11456.0,587.4
143,165.9,160.3,11116.0,396.7
144,192.8,145.9,11452.0,469.5
145,193.9,159.1,11128.0,515.1
146,201.7,151.2,10861.0,560.6
147,171.4,148.8,10803.0,403.3
148,170.2,147.9,10911.0,383.2
149,197.8,157.5,11671.0,538.3
150,194.5,153.3,11858.0,502.5
151,193.8,172.8,11270.0,574.3
152,195.2,141.5,11364.0,477.8
153,179.8,155.2,10962.0,425.2
154,193.5,144.7,11406.0,468.6
155,194.4,141.3,10959.0,502.3
156,179.3,149.9,11472.0,413.6
157,218.0,151.4,11827.0,597.1
158,197.1,179.2,11015.0,666.1
159,172.1,148.2,11641.0,404.4
160,199.8,138.7,10826.0,518.7
161,175.4,152.7,11213.0,436.0
162,201.8,129.3,10922.0,448.6
163,207.4,149.1,11188.0,561.3
164,177.7,150.2,10991.0,424.3
165,204.5,157.9,11211.0,585.4
166,196.2,159.7,11259.0,538.7
167,202.3,145.0,11131.0,494.9
168,218.5,148.5,11522.0,620.8
169,186.3,142.3,11811.0,426.5
170,178.7,138.7,11241.0,418.1
171,176.7,153.1,11012.0,422.1
172,177.8,137.3,11098.0,377.8
173,188.8,145.9,11739.0,402.9
174,195.1,140.0,11429.0,462.1
175,194.2,155.5,11301.0,532.2
176,202.4,168.0,10965.0,618.6
177,190.2,137.0,11295.0,470.9
178,211.8,131.5,11106.0,527.2
179,186.0,148.8,11837.0,437.1
180,230.8,150.2,11772.0,659.0
181,199.4,152.2,10892.0,559.8
182,177.1,145.5,11368.0,372.0
183,173.9,148.0,11048.0,415.7
184,197.2,153.7,11252.0,542.2
185,186.6,160.4,11765.0,495.4
186,200.7,130.4,11380.0,446.5
187,197.1,146.3,11168.0,511.4
188,188.9,152.1,11029.0,500.7
189,177.3,140.8,11680.0,385.6
190,167.3,167.3,11487.0,394.6
191,183.3,143.6,11315.0,390.7
192,202.8,149.6,11039.0,562.8
193,193.2,155.6,11168.0,517.7
194,171.3,144.1,11856.0,348.2
195,192.6,131.5,11372.0,440.5
196,195.8,145.7,11241.0,496.2
197,176.7,160.3,11374.0,420.5
198,192.3,146.6,11657.0,436.2
199,190.9,141.5,11174.0,444.5
200,172.9,159.3,10997.0,468.6
201,195.4,146.7,11443.0,500.1
202,198.4,144.9,11532.0,497.5
203,206.2,151.5,11584.0,553.6
204,205.8,157.7,11770.0,563.8
205,169.3,173.8,11208.0,462.2
206,175.9,158.3,10883.0,442.8
207,197.7,161.6,11854.0,541.6
208,197.7,144.9,11279.0,497.1
209,197.7,139.7,11486.0,504.8
210,247.8,150.6,11533.0,813.0
211,198.6,151.1,11401.0,541.1
212,207.0,139.2,11026.0,532.4
213,204.3,148.2,11631.0,547.9
214,199.8,154.0,11684.0,521.3
215,185.3,153.6,11408.0,463.8
216,201.4,155.0,11337.0,579.1
217,178.4,152.9,10925.0,429.8
218,186.4,144.9,10892.0,465.6
219,182.7,144.9,11174.0,439.4
220,191.2,138.0,11142.0,460.8
221,224.7,167.8,11849.0,708.6
222,162.0,150.1,11662.0,369.1
223,200.3,147.8,11526.0,494.8
224,165.8,140.7,11369.0,362.1
225,182.9,179.4,10984.0,564.6
226,206.3,139.3,11876.0,527.8
227,191.0,145.7,11213.0,450.1
228,173.8,154.2,10918.0,413.7
229,179.3,156.0,11343.0,464.4
230,200.2,159.6,11761.0,515.6
231,179.0,168.1,11776.0,433.4
232,193.2,155.1,10812.0,528.3
233,190.7,139.4,11775.0,433.5
234,180.2,147.4,11099.0,455.4
235,222.2,153.1,10843.0,694.0
236,199.5,170.7,11733.0,569.9
237,159.6,136.0,11750.0,299.6
238,192.8,162.0,11456.0,532.8
239,180.1,151.8,11432.0,437.2
240,202.8,158.4,11694.0,554.3
241,178.1,149.0,11665.0,375.8
242,188.3,141.6,11779.0,412.3
243,197.6,157.5,11408.0,560.3
244,203.0,156.5,11864.0,546.5
245,172.0,159.7,11896.0,392.4
246,185.0,149.9,10928.0,486.0
247,182.9,144.0,11734.0,393.5
248,180.2,134.4,11350.0,381.2
249,216.5,158.2,11226.0,662.4
250,196.1,154.2,11474.0,510.2
251,171.1,140.3,10862.0,379.7
252,203.8,144.6,11357.0,525.9
253,221.8,145.3,11758.0,587.3
254,205.5,135.2,11035.0,520.0
255,167.2,141.8,11269.0,331.9
256,182.7,138.7,11833.0,393.8
257,209.0,145.9,11271.0,586.0
258,179.4,142.6,11194.0,405.7
259,196.7,133.7,11285.0,440.7
260,201.6,170.2,11371.0,606.6
261,176.1,162.5,11495.0,426.0
262,189.1,142.2,11681.0,444.3
263,141.4,152.7,11297.0,268.0
264,174.6,154.2,11699.0,427.5
265,186.2,161.9,11387.0,510.5
266,171.3,141.8,11172.0,370.1
267,214.5,160.9,11524.0,653.2
268,168.5,144.5,11589.0,348.4
269,183.4,136.6,11414.0,403.2
270,192.0,157.2,10862.0,528.0
271,211.6,162.9,10987.0,675.5
272,168.5,175.9,11114.0,470.6
273,207.4,138.0,11111.0,546.5
274,190.2,157.0,11541.0,505.7
275,175.3,145.9,10820.0,428.1
276,196.9,157.8,11631.0,534.5
277,193.0,135.3,11092.0,437.2
278,181.0,137.4,11141.0,429.5
279,191.0,142.2,11381.0,483.2
280,184.2,150.8,11038.0,460.1
281,191.7,143.6,11773.0,442.7
282,199.9,156.6,10894.0,583.8
283,213.8,160.3,11289.0,657.2
284,171.4,156.0,11734.0,387.7
285,222.0,166.2,11477.0,694.8
286,160.7,154.2,11122.0,362.6
287,187.7,137.8,11263.0,439.5
288,198.8,163.6,11577.0,569.6
289,194.2,143.9,11871.0,462.6
290,180.7,159.1,11782.0,436.7
291,186.9,165.7,11177.0,532.8
292,182.6,154.6,11898.0,434.2
293,181.2,135.0,10804.0,403.2
294,202.7,140.8,10830.0,531.7
295,195.4,163.2,11706.0,506.0
296,179.6,148.3,11019.0,431.4
297,203.5,150.8,10867.0,585.0
298,194.6,157.6,11061.0,544.7
299,202.2,157.0,11269.0,592.3
300,199.4,152.8,11604.0,519.8
301,177.6,147.9,11487.0,413.3
302,181.6,146.9,11061.0,449.8
303,201.2,158.6,11354.0,600.6
304,199.2,155.5,11819.0,524.1
305,189.7,147.4,11697.0,437.9
306,191.8,160.8,11156.0,542.8
307,209.2,148.7,11880.0,575.6
308,181.1,141.5,11579.0,396.0
309,198.2,142.4,10869.0,527.4
310,187.0,140.2,10839.0,470.6
311,186.7,147.3,10985.0,482.7
312,206.5,162.3,11601.0,598.5
313,202.4,141.9,11002.0,518.0
314,202.2,151.9,11363.0,545.3
315,209.6,143.4,10903.0,584.7
316,190.3,147.4,11813.0,465.6
317,200.2,134.9,11178.0,488.8
318,185.3,147.8,11799.0,424.6
319,194.9,148.1,11839.0,483.2
320,188.0,155.4,10807.0,521.4
321,191.5,152.2,11311.0,499.0
322,198.9,138.0,10827.0,491.9
323,177.7,160.8,11800.0,427.8
324,221.4,152.1,11370.0,669.9
325,174.9,152.0,10882.0,406.5
326,171.8,149.9,10921.0,373.7
327,207.4,144.8,11222.0,577.6
328,201.9,152.2,11834.0,531.7
329,199.4,154.8,11562.0,541.1
330,199.4,132.5,11754.0,432.3
331,189.8,144.6,11203.0,476.1
332,176.5,147.5,10848.0,427.8
333,191.1,152.6,11872.0,445.7
334,179.8,161.9,10819.0,505.5
335,204.6,142.3,11842.0,505.5
336,187.8,145.0,11206.0,450.5
337,177.6,144.9,10811.0,417.1
338,185.2,142.0,11558.0,391.0
339,196.2,146.5,11879.0,483.7
340,181.5,157.7,11862.0,442.1
341,177.7,139.5,10977.0,398.1
342,193.7,154.3,10999.0,545.2
343,193.7,133.0,11422.0,415.9
344,182.4,144.4,11501.0,408.7
345,182.9,146.7,11613.0,410.0
346,193.5,166.7,10999.0,563.3
347,168.3,147.3,11855.0,352.8
348,168.9,128.0,11503.0,323.8
349,179.2,130.0,11732.0,350.8
350,186.8,150.3,11394.0,447.2
351,194.7,156.1,11256.0,550.9
352,212.1,153.8,11875.0,618.8
353,202.9,151.7,11440.0,547.8
354,187.6,161.6,11754.0,472.6
355,189.7,144.6,11849.0,461.4
356,175.0,158.9,11543.0,399.8
357,189.7,133.7,11404.0,416.9
358,185.7,141.0,10804.0,439.3
359,194.8,131.9,10844.0,444.5
360,177.6,147.3,11021.0,417.2
361,197.8,149.5,11005.0,518.6
362,213.0,151.1,11080.0,619.0
363,188.4,150.6,11135.0,480.4
364,196.0,140.7,11196.0,473.7
365,200.4,148.1,11263.0,522.3
366,184.0,135.0,10909.0,415.5
367,193.4,163.6,10847.0,576.2
368,190.2,147.0,11541.0,458.4
369,191.5,145.1,11391.0,479.4
370,178.4,165.9,11289.0,476.5
371,190.4,137.6,11498.0,442.2
372,197.5,138.7,11710.0,482.8
373,211.8,139.0,11270.0,536.4
374,204.4,149.3,11505.0,535.1
375,222.3,154.3,11849.0,670.0
376,178.5,157.4,11724.0,423.9
377,203.1,175.7,11269.0,600.9
378,192.8,127.5,11509.0,408.6
379,222.8,156.1,10995.0,707.0
380,177.9,144.4,11417.0,361.0
381,177.4,144.1,11879.0,401.9
382,181.0,143.8,11370.0,403.7
383,158.1,140.9,11820.0,303.1
384,182.1,166.8,11248.0,488.6
385,178.6,158.4,11899.0,405.4
386,192.3,150.2,11437.0,469.5
387,195.1,163.5,10846.0,559.9
388,218.1,134.9,11445.0,577.0
389,204.3,136.7,11102.0,511.5
390,181.3,128.2,10836.0,381.3
391,176.5,143.0,11703.0,366.8
392,197.4,151.6,11103.0,549.9
393,170.2,151.0,11676.0,396.6
394,217.5,151.5,11117.0,662.3
395,207.7,135.9,11014.0,539.6
396,183.0,158.0,11871.0,450.0
397,164.3,152.4,11198.0,349.2
398,210.3,157.3,11462.0,603.4
399,188.3,131.1,11471.0,394.8
400,208.6,153.1,11417.0,556.0
401,166.1,138.1,11806.0,338.6
402,181.0,146.0,11542.0,404.1
403,190.1,155.3,11244.0,517.1
404,190.7,150.9,11749.0,480.4
405,183.2,141.5,10999.0,440.3
406,199.3,150.1,11399.0,532.3
407,174.0,134.7,11846.0,335.0
408,187.9,161.5,11488.0,524.0
409,191.8,147.9,11699.0,465.9
410,197.7,161.2,11519.0,551.5
411,200.7,144.7,11723.0,487.4
412,173.1,144.8,11839.0,352.6
413,167.0,142.4,11100.0,364.8
414,209.2,158.8,10987.0,635.5
415,195.0,142.9,11332.0,467.6
416,178.8,156.4,11572.0,410.5
417,213.3,146.2,11050.0,582.6
418,191.7,130.2,10805.0,461.1
419,207.7,144.3,11177.0,547.7
420,191.0,138.2,11866.0,419.9
421,220.9,150.3,11564.0,656.2
422,216.3,138.1,11241.0,558.1
423,186.3,159.3,11012.0,490.9
424,204.6,149.1,11192.0,546.0
425,199.7,148.2,10987.0,562.2
426,210.5,156.6,10917.0,665.5
427,175.5,159.6,11797.0,428.2
428,200.3,149.8,11897.0,516.9
429,205.9,142.3,10981.0,540.5
430,163.6,132.3,10860.0,355.2
431,172.3,143.1,11163.0,384.5
432,159.4,143.8,11308.0,336.0
433,186.0,151.1,11025.0,472.2
434,200.8,146.5,11132.0,526.6
435,212.5,156.9,11021.0,667.9
436,191.1,143.9,11652.0,459.1
437,214.4,149.4,11584.0,614.9
438,169.3,161.8,11498.0,407.2
439,164.4,153.4,11226.0,356.9
440,189.2,149.4,11800.0,444.3
441,195.8,144.0,11866.0,466.5
442,189.5,143.7,10991.0,460.0
443,159.0,141.5,11045.0,307.2
444,188.7,144.6,11378.0,470.3
445,170.4,157.6,10900.0,411.7
446,200.0,147.8,11280.0,526.4
447,195.5,136.5,11440.0,460.5
448,175.9,167.7,11374.0,447.3
449,182.3,153.2,11164.0,477.8
450,174.1,135.9,11397.0,344.8
451,189.1,145.6,11855.0,442.9
452,204.3,151.1,11027.0,575.8
453,175.2,167.0,11520.0,444.3
454,197.6,138.9,10848.0,480.4
455,182.0,159.8,10873.0,500.0
456,178.1,164.0,11407.0,467.2
457,188.4,143.7,10915.0,457.2
458,174.5,147.2,10825.0,424.6
459,181.7,139.6,10989.0,425.1
460,172.0,148.0,11421.0,364.2
461,219.5,149.6,11574.0,609.9
462,190.5,156.6,11023.0,532.8
463,179.5,160.9,11535.0,454.1
464,193.2,142.5,11001.0,475.2
465,188.3,130.3,11475.0,389.9
466,186.7,149.8,11253.0,456.2
467,199.2,152.9,11519.0,520.2
468,201.4,152.5,11895.0,507.1
469,182.0,146.7,11832.0,384.9
470,181.4,151.2,10805.0,477.5
471,185.9,165.2,11774.0,499.2
472,155.5,153.8,10873.0,322.8
473,167.3,146.3,11848.0,347.5
474,210.5,145.0,11110.0,564.8
475,214.7,148.3,11220.0,605.2
476,186.3,166.4,10901.0,524.3
477,198.6,148.2,10924.0,528.8
478,194.7,149.8,11599.0,519.5
479,236.2,145.2,11839.0,677.4
480,206.8,161.0,11472.0,588.0
481,188.1,169.6,11587.0,506.3
482,175.7,154.5,11638.0,425.3
483,165.9,150.8,11089.0,349.6
484,193.1,150.4,10850.0,505.1
485,178.7,126.2,10802.0,394.5
486,168.7,157.5,11186.0,404.1
487,180.3,151.3,11066.0,447.5
488,173.8,154.3,10869.0,460.7
489,215.3,142.9,10997.0,606.0
490,203.2,146.2,10937.0,541.3
491,189.9,145.9,11806.0,441.3
492,212.2,160.2,10954.0,641.5
493,191.2,146.2,11391.0,487.9
494,177.1,170.8,11452.0,476.4
495,212.8,154.3,11398.0,630.2
496,198.1,137.2,10909.0,511.8
497,174.4,148.7,11151.0,399.6
498,187.1,143.5,10856.0,448.7
499,176.9,128.1,11235.0,355.8
500,169.3,166.0,11007.0,418.9
501,203.9,157.0,11418.0,574.2
502,218.6,155.3,11562.0,659.2
503,169.0,151.7,11385.0,378.0
504,198.4,136.2,11278.0,477.8
505,180.2,145.2,11226.0,418.7
506,182.7,158.4,11726.0,463.0
507,181.1,139.5,11041.0,404.4
508,177.0,124.7,11608.0,303.7
509,190.7,147.7,11633.0,469.0
510,177.5,148.6,11261.0,430.7
511,194.1,151.4,11127.0,518.9
512,189.2,157.3,11318.0,488.1
513,186.4,156.4,10903.0,481.4
514,176.4,152.6,10851.0,444.9
515,181.3,162.0,10923.0,489.8
516,201.3,134.8,11006.0,494.6
517,197.5,155.0,11355.0,560.0
518,175.3,156.3,11734.0,395.2
519,191.5,137.6,11059.0,482.9
520,201.3,135.0,11829.0,462.7
521,165.0,142.5,11850.0,299.8
522,198.2,143.4,11855.0,472.2
523,180.1,157.5,11721.0,450.1
524,198.6,143.9,11200.0,500.9
525,178.6,141.4,10880.0,392.3
526,162.9,143.9,11426.0,331.8
527,165.6,161.2,11415.0,374.3
528,190.7,150.1,11735.0,472.7
529,193.9,148.2,11896.0,480.0
530,176.4,148.9,11359.0,392.2
531,199.6,162.9,11180.0,569.9
532,165.1,142.5,11004.0,364.2
533,189.0,163.2,10805.0,526.5
534,171.8,152.1,11360.0,379.1
535,180.2,148.4,11411.0,404.7
536,190.7,175.0,11707.0,549.0
537,177.1,139.4,11355.0,389.8
538,184.2,146.5,11808.0,410.7
539,205.1,137.7,11491.0,504.1
540,181.3,159.5,11724.0,470.4
541,202.5,166.9,10963.0,609.8
542,173.1,166.7,11741.0,395.9
543,197.9,162.2,11543.0,557.6
544,211.6,148.0,10987.0,601.7
545,152.9,146.3,11009.0,300.2
546,178.0,133.3,11819.0,367.3
547,198.7,170.4,10835.0,633.1
548,187.0,154.7,11309.0,445.0
549,195.6,145.1,11145.0,488.1
550,180.9,163.3,11532.0,498.3
551,191.3,140.3,11724.0,446.6
552,187.7,154.1,11196.0,494.8
553,207.5,148.3,11270.0,584.2
554,193.8,156.4,11880.0,494.7
555,195.1,149.4,11662.0,499.3
556,183.8,135.5,11787.0,399.2
557,182.7,150.8,11283.0,454.0
558,183.5,160.5,11057.0,484.0
559,195.9,149.7,11253.0,513.2
560,183.7,157.8,11588.0,450.5
561,194.3,139.5,10920.0,482.8
562,221.1,149.7,11098.0,642.3
563,203.1,143.8,10851.0,534.4
564,185.1,157.5,11276.0,474.3
565,208.0,150.3,11710.0,541.3
566,183.9,156.9,10827.0,482.4
567,159.4,160.9,11543.0,351.8
568,174.9,156.9,11826.0,411.8
569,161.9,152.7,11061.0,376.4
570,184.7,140.0,11563.0,406.3
571,190.3,150.0,11873.0,477.4
572,215.1,144.7,11859.0,578.8
573,194.9,146.6,11058.0,511.0
574,186.7,146.3,10910.0,469.6
575,202.4,140.2,10963.0,528.9
576,156.8,130.4,11572.0,295.0
577,193.5,143.3,11598.0,481.2
578,201.6,151.9,11542.0,554.8
579,167.8,136.5,11170.0,344.8
580,207.2,150.2,10987.0,594.8
581,195.1,169.0,11439.0,582.4
582,183.8,160.2,11332.0,468.2
583,199.5,166.4,11602.0,566.1
584,224.1,153.9,11285.0,684.9
585,192.7,161.7,11173.0,551.0
586,193.7,142.8,11123.0,495.4
587,183.1,143.6,11033.0,432.8
588,177.3,122.6,11092.0,324.7
589,202.5,161.9,10904.0,612.1
590,177.2,165.4,11182.0,450.5
591,191.1,144.5,10840.0,464.2
592,182.8,147.5,11005.0,429.0
593,197.2,142.5,11621.0,481.5
594,195.0,153.8,11158.0,544.7
595,205.6,161.2,11535.0,591.3
596,182.3,132.6,11589.0,383.6
597,186.0,154.1,11439.0,483.5
598,175.3,147.2,11855.0,358.6
599,183.3,151.1,10824.0,477.1
600,195.7,154.6,11613.0,509.5
601,201.4,148.1,11855.0,515.1
602,176.2,149.0,11748.0,386.3
603,203.0,147.9,10985.0,542.7
604,210.3,159.7,11160.0,635.2
605,196.2,154.2,10990.0,564.8
606,218.2,152.2,11461.0,644.9
607,178.4,137.3,11583.0,369.6
608,171.3,146.2,11149.0,364.9
609,163.3,159.0,11393.0,347.0
610,212.4,150.4,11560.0,606.8
611,199.8,156.6,11263.0,540.8
612,189.2,167.7,11739.0,506.2
613,194.2,160.4,11649.0,539.1
614,173.1,150.9,10871.0,391.9
615,226.7,144.9,11483.0,670.8
616,191.9,124.5,11059.0,410.8
617,191.6,148.3,11413.0,460.0
618,200.9,146.7,11853.0,495.9
619,197.2,153.9,11767.0,497.9
620,193.4,148.5,11245.0,500.2
621,178.1,146.8,11121.0,409.2
622,197.1,132.2,11058.0,435.7
623,218.2,140.6,11386.0,584.8
624,210.2,154.8,10926.0,605.4
625,213.9,167.2,11404.0,673.7
626,182.3,149.0,10801.0,440.9
627,175.2,153.3,11156.0,414.2
628,188.1,159.5,11042.0,514.0
629,190.8,141.9,11868.0,432.2
630,206.4,153.7,11600.0,568.2
631,164.6,142.6,11185.0,355.7
632,212.9,158.6,10902.0,642.5
633,187.6,151.5,11368.0,468.2
634,183.6,153.0,11035.0,417.4
635,174.8,142.2,11390.0,385.2
636,165.2,157.1,11719.0,361.2
637,202.3,170.8,11477.0,594.7
638,191.1,139.9,11497.0,449.2
639,170.7,146.6,11395.0,392.3
640,170.6,152.3,11820.0,367.8
641,185.0,157.9,11825.0,442.5
642,215.0,144.4,11364.0,590.1
643,186.1,121.7,11136.0,358.4
644,167.5,163.6,11306.0,395.8
645,186.3,157.6,11005.0,515.5
646,185.9,132.6,11500.0,399.4
647,149.5,143.9,11350.0,255.4
648,189.2,165.7,10914.0,516.4
649,186.5,164.5,11017.0,521.9
650,200.4,159.4,11328.0,578.3
651,217.7,148.2,11776.0,572.5
652,206.9,150.8,11423.0,572.0
653,186.0,148.7,11550.0,465.2
654,173.4,161.3,11173.0,462.4
655,228.6,141.2,11429.0,650.8
656,190.9,141.9,11292.0,465.6
657,190.2,160.1,11525.0,470.6
658,189.6,149.6,10856.0,526.9
659,193.0,163.8,11343.0,529.1
660,187.8,143.3,11126.0,440.4
661,181.4,149.5,11159.0,436.9
662,181.8,140.8,11857.0,415.1
663,189.5,150.1,11001.0,523.0
664,181.8,135.2,11142.0,403.2
665,179.3,145.1,11361.0,425.7
666,191.6,135.6,11749.0,424.4
667,186.2,156.9,11258.0,467.6
668,212.6,157.2,11618.0,633.3
669,150.2,132.7,11742.0,245.7
670,206.4,163.3,11141.0,647.4
671,208.7,175.0,11232.0,697.9
672,158.9,150.5,11192.0,348.6
673,184.9,143.6,11716.0,446.2
674,184.4,178.2,10849.0,592.3
675,168.9,136.8,11139.0,347.7
676,178.3,150.2,11547.0,401.5
677,173.3,151.8,11422.0,371.4
678,216.3,163.5,11280.0,711.5
679,204.0,153.6,11394.0,554.6
680,209.1,145.0,11017.0,592.4
681,200.8,140.5,11274.0,491.5
682,173.1,146.6,11352.0,409.8
683,182.1,139.9,11791.0,383.2
684,197.3,150.5,11087.0,510.7
685,171.7,144.4,11755.0,358.8
686,200.7,135.1,11509.0,464.7
687,186.4,162.6,10822.0,530.8
688,184.4,145.0,11597.0,424.3
689,200.7,137.3,10839.0,519.5
690,196.7,148.3,11897.0,477.8
691,184.6,150.7,11760.0,426.6
692,207.4,132.5,11127.0,503.5
693,173.8,153.3,11083.0,448.5
694,199.2,139.5,11220.0,497.0
695,198.9,167.1,11192.0,560.9
696,185.4,155.2,11210.0,468.0
697,194.9,146.0,11150.0,498.8
698,171.2,142.5,11483.0,391.7
699,203.9,149.0,10981.0,579.2
700,187.2,156.1,11731.0,452.7
701,182.2,149.7,11694.0,461.2
702,205.7,147.8,11324.0,552.1
703,179.4,150.6,11738.0,431.7
704,168.9,144.0,11072.0,353.5
705,166.7,146.6,10819.0,340.3
706,199.1,129.1,11481.0,424.7
707,170.8,159.7,11304.0,363.5
708,216.3,153.0,11424.0,658.4
709,158.8,142.3,11789.0,307.4
710,215.4,169.0,11867.0,647.1
711,193.2,150.9,11498.0,496.4
712,188.5,139.6,11640.0,429.3
713,181.8,158.6,10892.0,490.6
714,196.0,154.0,10977.0,557.0
715,189.4,153.9,11607.0,471.6
716,206.5,145.7,11275.0,538.3
717,191.7,154.5,11291.0,515.4
718,192.3,147.4,11139.0,501.1
719,184.5,155.6,11468.0,463.5
720,189.1,131.0,11004.0,458.4
721,194.6,145.7,11490.0,473.6
722,164.3,167.2,10991.0,397.4
723,169.8,142.3,10870.0,383.7
724,201.1,144.0,11163.0,511.7
725,192.6,145.5,11054.0,495.6
726,187.2,137.9,11778.0,397.8
727,190.3,127.9,10860.0,420.4
728,195.2,147.7,10994.0,540.3
729,181.9,151.4,11404.0,433.1
730,178.3,149.5,11329.0,407.6
731,192.9,148.6,10850.0,527.2
732,175.3,150.4,10808.0,412.1
